"SQUARE","Z..m.","DEPTH","N","Numéro.EBS"
"E-F",-1.81,NA,NA,"60739"
"F-J",-1.85,NA,2,"60740"
"F-J",-1.91,NA,5,"60741"
"C-L",-1.92,NA,55,"60742"
"F-J",-1.95,NA,5,"60743"
"x",-3.82,NA,NA,"60693"
"x",-3.82,NA,8,"62391"
"x",-3.83,NA,NA,"60694"
"x",-3.83,NA,13,"62392"
"x",-3.84,NA,6,"60756"
"x",-3.84,NA,NA,"62393"
"x",-3.85,NA,34,"62394"
"x",-3.86,NA,18,"60757"
"x",-3.86,NA,10,"62395"
"x",-3.86,NA,27,"62396"
"x",-3.87,NA,105,"62397"
"x",-3.91,NA,4,"62398"
"x",-3.92,NA,NA,"62399"
"x",-3.92,NA,36,"62400"
"x",-3.94,NA,60,"62401"
"x",-3.96,NA,6,"62402"
"x",-3.97,NA,4,"62403"
"x",-3.98,NA,NA,"55475"
"x",-3.98,NA,7,"60758"
"x",-3.99,NA,3,"60759"
"x",-4,NA,12,"60760"
"x",-4.01,NA,8,"60761"
"x",-4.02,NA,NA,"55475"
"x",-4.03,NA,NA,"60696"
"x",-4.03,NA,6,"60762"
"x",-4.04,NA,20,"62404"
"x",-4.08,NA,NA,"60697"
"x",-4.1,NA,NA,"55476"
"x",-4.1,NA,NA,"55476"
"x",-4.13,NA,13,"60764"
"x",-4.14,NA,12,"60763"
"x",-4.22,NA,NA,"60698"
NA,NA,NA,NA,"60831"
NA,NA,NA,NA,"60832"
NA,NA,NA,NA,"60833"
NA,NA,NA,NA,"60834"
NA,NA,NA,NA,"60835"
NA,NA,NA,NA,"60836"
NA,NA,NA,NA,"60837"
NA,NA,NA,NA,"60838"
NA,NA,NA,NA,"60839"
NA,NA,NA,NA,"60840"
NA,NA,NA,NA,"60841"
NA,NA,NA,NA,"60842"
NA,NA,NA,NA,"60843"
NA,NA,NA,NA,"60844"
NA,NA,NA,NA,"60845"
NA,NA,NA,NA,"60846"
NA,NA,NA,NA,"60847"
NA,NA,NA,NA,"60848"
NA,NA,NA,NA,"60849"
NA,NA,NA,NA,"60850"
NA,NA,NA,NA,"60851"
NA,NA,NA,NA,"60852"
NA,NA,NA,NA,"60853"
NA,NA,NA,NA,"60854"
NA,NA,NA,NA,"60855"
NA,NA,NA,NA,"60856"
NA,NA,NA,NA,"60857"
NA,NA,NA,NA,"60858"
NA,NA,NA,NA,"60859"
NA,NA,NA,NA,"60860"
NA,NA,NA,NA,"60861"
NA,NA,NA,NA,"60862"
NA,NA,NA,NA,"60863"
NA,NA,NA,NA,"60864"
NA,NA,NA,NA,"60865"
NA,NA,NA,NA,"60866"
NA,NA,NA,NA,"60867"
NA,NA,NA,NA,"60868"
NA,NA,NA,NA,"60869"
NA,NA,NA,NA,"60870"
NA,NA,NA,NA,"60871"
NA,NA,NA,NA,"60872"
NA,NA,NA,NA,"60873"
NA,NA,NA,NA,"60874"
NA,NA,NA,NA,"60875"
NA,NA,NA,NA,"60876"
NA,NA,NA,NA,"60877 A "
NA,NA,NA,NA,"60877 B"
NA,NA,NA,NA,"60878"
NA,NA,NA,NA,"60879"
NA,NA,NA,NA,"60880"
NA,NA,NA,NA,"60881"
NA,NA,NA,NA,"61441"
NA,NA,NA,NA,"61908"
NA,NA,NA,NA,"61909"
NA,NA,NA,NA,"62010"
NA,NA,NA,NA,"62011"
NA,NA,NA,NA,"62012"
NA,NA,NA,NA,"62013"
NA,NA,NA,NA,"62014"
NA,NA,NA,NA,"62015"
NA,NA,NA,NA,"62016"
NA,NA,NA,NA,"62017"
NA,NA,NA,NA,"62018"
NA,NA,NA,NA,"62019"
NA,NA,NA,NA,"62020"
NA,NA,NA,NA,"62021"
NA,NA,NA,NA,"62022"
NA,NA,NA,NA,"62023"
NA,NA,NA,NA,"62024"
NA,NA,NA,NA,"62025"
NA,NA,NA,NA,"62026"
NA,NA,NA,NA,"62027"
NA,NA,NA,NA,"62028"
NA,NA,NA,NA,"62029"
NA,NA,NA,NA,"62030"
NA,NA,NA,NA,"62031"
NA,NA,NA,NA,"62032"
NA,NA,NA,NA,"62033"
NA,NA,NA,NA,"62034"
NA,NA,NA,NA,"62035"
NA,NA,NA,NA,"62036"
NA,NA,NA,NA,"62037"
NA,NA,NA,NA,"62038"
NA,NA,NA,NA,"62039"
NA,NA,NA,NA,"62040"
NA,NA,NA,NA,"62041"
NA,NA,NA,NA,"62042"
NA,NA,NA,NA,"62043"
NA,NA,NA,NA,"62044"
NA,NA,NA,NA,"62045"
NA,NA,NA,NA,"62046"
NA,NA,NA,NA,"62047"
NA,NA,NA,NA,"62048"
NA,NA,NA,NA,"62049"
NA,NA,NA,NA,"62050"
NA,NA,NA,NA,"62051"
NA,NA,NA,NA,"62052"
NA,NA,NA,NA,"62053"
NA,NA,NA,NA,"62054"
NA,NA,NA,NA,"62055"
NA,NA,NA,NA,"62056"
NA,NA,NA,NA,"62056 B"
NA,NA,NA,NA,"62057"
NA,NA,NA,NA,"62058"
NA,NA,NA,NA,"62059"
NA,NA,NA,NA,"62060"
"J",NA,35,NA,"62060 A"
NA,NA,NA,NA,"62061"
NA,NA,NA,NA,"62062"
NA,NA,NA,NA,"62063"
NA,NA,NA,NA,"62064"
NA,NA,NA,NA,"62065"
NA,NA,NA,NA,"62065 A"
NA,NA,NA,NA,"62066"
NA,NA,NA,NA,"62067"
NA,NA,NA,NA,"62067 A"
NA,NA,NA,NA,"62068"
NA,NA,NA,NA,"62069"
NA,NA,NA,NA,"62070"
NA,NA,NA,NA,"62071"
NA,NA,NA,NA,"62072"
NA,NA,NA,NA,"62073"
NA,NA,NA,NA,"62074"
NA,NA,NA,NA,"62075"
NA,NA,NA,NA,"62076"
NA,NA,NA,NA,"62077"
NA,NA,NA,NA,"62078"
NA,NA,NA,NA,"62079"
NA,NA,NA,NA,"62080"
NA,NA,NA,NA,"62081"
NA,NA,NA,NA,"62084"
NA,NA,NA,NA,"62085"
NA,NA,NA,NA,"62086"
"I",NA,73,2,"62087"
NA,NA,NA,NA,"62088"
NA,NA,NA,NA,"62089"
NA,NA,NA,NA,"62090"
NA,NA,NA,NA,"62091"
NA,NA,NA,NA,"62092"
NA,NA,NA,NA,"62093"
NA,NA,NA,NA,"62094"
NA,NA,NA,NA,"62095"
NA,NA,NA,NA,"62096"
NA,NA,NA,NA,"62097"
