"Act","Obj","VU","n","Typ","Size","Wgt","Wall","Fabric","Color","Decor","Morph","Drawing","Note"
30,NA,NA,3,NA,70,6.4,6,"fine/white","white/red",NA,NA,NA,"-30 & -36"
30,"1",NA,NA,NA,30,2.5,8,"slag","brown/grey","Kammeindruck & gr. Dreieckige Eindrücke",NA,NA,NA
31,NA,NA,NA,NA,30,6,10,"slag","beige/grey",NA,NA,NA,NA
31,NA,NA,3,NA,30,6.4,7,"fine/white","beige/brown","Zahneindruck/Kerbschnitt?",NA,"x","8:5; 31:2-3"
31,NA,NA,NA,NA,70,10.4,9,"grog","beige/grey",NA,NA,NA,NA
31,NA,NA,7,NA,30,9.5,NA,NA,NA,NA,NA,NA,NA
33,NA,4,3,NA,70,17.6,5,"fine/white","white/grey","plast Leiste mit Eindrücken",NA,"x","31:1, 33:1, 36"
33,NA,NA,NA,NA,70,16.4,6,"slag","brown/grey",NA,NA,NA,NA
33,"5",NA,3,"RS",70,16.6,6,"slag","beige/red","wellenförm feine Rillen","konakav ausbiegender Rand, gerade Mdg","x",NA
33,"2",NA,NA,"RS",70,6.5,7,"fine/white","white/grey",NA,"konkav ausbiegender Rand; gerade Mdg",NA,NA
33,NA,NA,NA,NA,30,1.8,6,"fine/red","red/grey","Rille",NA,NA,NA
33,NA,NA,5,NA,70,22.8,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,26,NA,30,34.3,NA,NA,NA,NA,NA,NA,NA
35,NA,1,5,NA,120,60.5,9,"grog","white/grey",NA,NA,"x","19:1; 20; 35; 36"
35,NA,6,2,NA,70,19.3,7,"slag","brown/beige/red",NA,NA,NA,"-35 & -39; slag?"
35,NA,NA,NA,NA,70,44.4,11,"slag","brown/grey",NA,NA,NA,NA
35,NA,NA,NA,NA,70,12.7,8,"slag","brown/grey",NA,NA,NA,NA
35,NA,NA,2,NA,70,10.3,6,"slag","brown/beige/grey","feine, bogenförm Kammstrich","leicht konvexe Schulter","x","33:4; 35:1"
35,NA,NA,NA,NA,70,3.9,4.5,"fine/white","beige/grey",NA,NA,NA,NA
35,NA,NA,NA,NA,70,9.2,8,"coarse/red","brown/black",NA,NA,NA,NA
35,"3",NA,NA,NA,30,4,7,"fine/white","brown/beige/grey","breite Rille & Kammstrich",NA,NA,NA
35,NA,NA,3,NA,70,20.9,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,19,NA,30,25.3,NA,NA,NA,NA,NA,NA,NA
36,NA,2,3,NA,120,44.9,5,"fine/red","red/beige","Leiste; Rillen","Absatz-plast.Leiste","x","36; 43:1"
36,NA,NA,NA,"Lid?",70,13.5,7,"slag","brown",NA,NA,NA,NA
36,NA,NA,NA,NA,70,4.2,7,"slag","brown/beige","horiz Rillen","kurzer Zylinderhals",NA,NA
36,NA,NA,NA,NA,70,8.4,7,"slag","grey/beige",NA,NA,NA,NA
36,NA,NA,NA,NA,30,0.7,7,"slag","beige",NA,NA,NA,NA
36,NA,NA,NA,NA,70,5.4,7,"fine/red","dark red",NA,"leicht konkaver Rand, gerade Mdg",NA,NA
36,NA,NA,NA,NA,30,3.1,8,"fine/white","beige(?)",NA,NA,NA,NA
36,NA,NA,NA,NA,70,6.8,9,"slag","red/white/black",NA,NA,NA,NA
36,NA,NA,NA,NA,70,10.7,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,24,NA,30,35.9,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,30,6.8,8,"fine/white","beige/grey","horiz Rille","konvex",NA,NA
37,NA,NA,10,NA,30,20,NA,NA,NA,NA,NA,NA,NA
39,NA,3,2,NA,70,10.1,6,"slag","red/beige","horiz Rille","konvexer Bauch",NA,"-39 & -42"
39,"2",NA,NA,NA,70,18.6,8,"slag","brown/grey",NA,"leicht konvexe Schulter",NA,NA
39,NA,NA,NA,NA,70,6.9,7,"slag","grey",NA,NA,NA,NA
39,NA,NA,NA,"RS",70,7.8,8,"slag","beige/grey",NA,"gerader, leicht konkaver Rand",NA,NA
39,NA,NA,NA,"RS",30,3.7,6,"fine/white","white",NA,"kurzer ausbiegender Rand, gerade Mdg",NA,NA
39,"1",NA,NA,"RS",70,19,9,"slag","beige/grey",NA,"ausbiegender Rand; gerade Mdg",NA,NA
39,"3-4",NA,NA,NA,70,18.6,7,"fine/red","brown/black","Rille",NA,NA,"Glättspuren innen & außen"
39,NA,NA,NA,NA,70,16.5,10,"coarse/white","beige/black",NA,NA,NA,NA
39,NA,NA,NA,NA,30,3.7,9,"fine/red","grey/beige/red",NA,NA,NA,NA
39,NA,NA,15,NA,30,30.8,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,70,9,6,"grog","black/brown",NA,NA,NA,NA
41,NA,NA,NA,NA,70,16.1,6,"grog","white/grey",NA,NA,NA,NA
41,NA,NA,NA,NA,70,5.7,6,"slag","red",NA,NA,NA,NA
41,NA,NA,3,NA,70,17.5,10,"slag","beige/grey",NA,NA,NA,NA
41,NA,NA,NA,NA,70,10.4,8,"slag","beige/grey","bnfwa-nfwa?",NA,NA,NA
41,NA,NA,NA,NA,30,5,7,"slag","beige",NA,NA,"x",NA
41,NA,NA,NA,NA,70,3.4,5,"fine/white","white/grey",NA,NA,NA,NA
