"ID.Museum.Ind","X.depth.","depth","length"
"60753-7","","","2-4"
"60753-8","","","0-2"
"60753-9","","","0-2"
"60753-10","","","0-2"
"60753-11","","","0-2"
"60753-12","","","0-2"
"60709-1","-5,51","","4-8"
"60709-2","-5,51","","2-4"
"60709-3","","","4-8"
"60709-4","","","4-8"
"60709-5","","","2-4"
"60709-6","","","2-4"
"60709-7","","","2-4"
"60709-8","","","2-4"
"60709-9","","","2-4"
"60709-10","","","0-2"
"60709-11","","","0-2"
"60709-12","","","0-2"
"60709-13","","","0-2"
"60709-14","","","0-2"
"60709-15","","","0-2"
"60709-16","","","0-2"
"62389-132","","","2-4"
"60764-2","","","2-4"
"60764-3","","","2-4"
"60764-4","","","0-2"
"60764-5","","","0-2"
"60764-6","","","0-2"
"60764-7","","","0-2"
"60764-8","","","0-2"
"60764-9","","","0-2"
"60764-10","","","0-2"
"60764-11","","","0-2"
"60764-12","","","0-2"
"62389-14","","","4-8"
"62389-2","-3,78","","4-8"
"62389-3","","","4-8"
"62389-4","","","4-8"
"62389-5","","","4-8"
"62389-6","","","4-8"
"62389-157","","","2-4"
"62389-8","","","4-8"
"62389-9","","","4-8"
"62389-10","","","4-8"
"62389-19","","","4-8"
"62389-25","","","4-8"
"62389-13","","","4-8"
"62389-45","","","2-4"
"62389-15","","","4-8"
"62389-16","","","4-8"
"62389-17","","","4-8"
"62389-18","","","4-8"
"62389-7","","","4-8"
"62389-20","","","4-8"
"62389-21","","","4-8"
"62389-22","","","4-8"
"62389-23","","","4-8"
"62389-24","","","4-8"
"62389-76","","","2-4"
"62389-26","","","4-8"
"62389-27","","","4-8"
"62389-28","","","4-8"
"62389-29","","","4-8"
"62389-30","","","4-8"
"62389-31","","","4-8"
"62389-32","","","4-8"
"62389-33","","","4-8"
"62389-34","","","4-8"
"62389-35","","","4-8"
"62389-36","","","4-8"
"62389-37","","","4-8"
"62389-38","","","4-8"
"62389-39","","","4-8"
"62389-40","","","4-8"
"62389-41","","","4-8"
"62389-42","","","4-8"
"62389-43","","","4-8"
"62389-44","","","2-4"
"62389-81","","","2-4"
"62389-46","","","2-4"
"62389-47","","","2-4"
"62389-48","","","2-4"
"62389-49","","","2-4"
"62389-50","","","2-4"
"62389-51","","","2-4"
"62389-52","","","2-4"
"62389-53","","","2-4"
"62389-54","","","2-4"
"62389-55","","","2-4"
"62389-56","","","2-4"
"62389-57","","","2-4"
"62389-58","","","2-4"
"62389-59","","","2-4"
"62389-60","","","2-4"
"62389-61","","","2-4"
"62389-62","","","2-4"
"62389-63","","","2-4"
"62389-64","","","2-4"
"62389-65","","","2-4"
"62389-66","","","2-4"
"62389-67","","","2-4"
"62389-68","","","2-4"
"62389-69","","","2-4"
"62389-70","","","2-4"
"62389-71","","","2-4"
"62389-72","","","2-4"
"62389-73","","","2-4"
"62389-74","","","2-4"
"62389-75","","","2-4"
"62389-89","","","2-4"
"62389-77","","","2-4"
"62389-78","","","2-4"
"62389-79","","","2-4"
"62389-80","","","2-4"
"62389-150","","","2-4"
"62389-151","","","2-4"
"62389-152","","","2-4"
"62389-153","","","2-4"
"62389-154","","","2-4"
"62389-155","","","2-4"
"62389-156","","","2-4"
"62389-94","","","2-4"
"62389-158","","","2-4"
"62389-159","","","2-4"
"62389-160","","","2-4"
