"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",87,"2c",140,112500,1.3,146250,"1.6","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",88,"2d",140,112500,1.3,146250,"20.2","0",0,0,0.4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"0.4",NA
"MUK 2018/1030/10",89,"1a",160,112500,1.3,146250,"0.3","0.4",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",90,"1b",160,112500,1.3,146250,"0.4","0",0,0,290,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"290",NA
"MUK 2018/1030/10",91,"1c",160,112500,1.3,146250,"2.9","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",92,"1d",160,112500,1.3,146250,"1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",93,"2a",160,112500,1.3,146250,"1","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",94,"2b",160,112500,1.3,146250,"3.8","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",95,"2c",160,112500,1.3,146250,"1.5","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",96,"2d",160,112500,1.3,146250,"2.5","0",0,0,13.8,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"13.8",NA
